Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,1.0,1.0,0.450565459777283,0.125,0.0,0.36814570743360975,,0.6666666666666666
1,0.0,0.0,0.5635049628108479,0.125,0.0,0.6150971127131478,C85,0.0
1,1.0,0.0,0.48398492157353723,0.0,0.0,0.43828637974458046,,0.6666666666666666
1,0.0,0.0,0.5461549750624424,0.125,0.0,0.5951117782251508,C123,0.6666666666666666
0,1.0,1.0,0.5461549750624424,0.0,0.0,0.4483469373725304,,0.6666666666666666
0,1.0,1.0,,0.0,0.0,0.45708716171395325,,0.3333333333333333
0,0.0,1.0,0.6462699067792277,0.0,0.0,0.5893723924921064,E46,0.6666666666666666
0,1.0,1.0,0.31321930524371544,0.375,0.16666666666666666,0.5236656813522597,,0.6666666666666666
1,1.0,0.0,0.4903222603754447,0.0,0.3333333333333333,0.4783210927660373,,0.6666666666666666
1,0.5,0.0,0.3784950149820745,0.125,0.0,0.561381211262582,,0.0
1,1.0,0.0,0.3400180783317568,0.125,0.16666666666666666,0.5133270005850489,G6,0.6666666666666666
1,0.0,0.0,0.6660784882775902,0.0,0.0,0.5477878099218253,C103,0.6666666666666666
0,1.0,1.0,0.43191636385030885,0.0,0.0,0.4483469373725304,,0.6666666666666666
0,1.0,1.0,0.5683943213256837,0.125,0.8333333333333333,0.5665407176699173,,0.6666666666666666
0,1.0,0.0,0.3784950149820745,0.0,0.0,0.4167698439704556,,0.6666666666666666
1,0.5,0.0,0.6527380875240476,0.0,0.0,0.5105983381770075,,0.6666666666666666
0,1.0,1.0,0.31321930524371544,0.5,0.16666666666666666,0.5573255055537766,,0.3333333333333333
1,0.5,1.0,,0.0,0.0,0.4895936900036676,,0.6666666666666666
0,1.0,0.0,0.5211836891200355,0.125,0.0,0.5147917997571257,,0.6666666666666666
1,1.0,0.0,,0.0,0.0,0.3464032120058173,,0.0
0,0.5,1.0,0.5461549750624424,0.0,0.0,0.5373931885097546,,0.6666666666666666
